gamma,lr_policy,lr_baseline,baseline,hidden,best_score
0.9,0.001,0.001,0,32,17.83
0.9,0.001,0.001,0,64,9.02
0.9,0.001,0.001,0,128,25.6
0.9,0.001,0.001,20,32,33.97
0.9,0.001,0.001,20,64,135.67
0.9,0.001,0.001,20,128,115.13
0.9,0.001,0.001,dynamic,32,215.72
0.9,0.001,0.001,dynamic,64,131.66
0.9,0.001,0.001,dynamic,128,265.42
0.9,0.001,0.0001,0,32,16.07
0.9,0.001,0.0001,0,64,9.95
0.9,0.001,0.0001,0,128,446.99
0.9,0.001,0.0001,20,32,64.08
0.9,0.001,0.0001,20,64,52.88
0.9,0.001,0.0001,20,128,51.9
0.9,0.001,0.0001,dynamic,32,36.67
0.9,0.001,0.0001,dynamic,64,179.0
0.9,0.001,0.0001,dynamic,128,61.83
0.9,0.001,0.0005,0,32,13.91
0.9,0.001,0.0005,0,64,15.68
0.9,0.001,0.0005,0,128,468.21
0.9,0.001,0.0005,20,32,44.56
0.9,0.001,0.0005,20,64,92.96
0.9,0.001,0.0005,20,128,51.28
0.9,0.001,0.0005,dynamic,32,199.38
0.9,0.001,0.0005,dynamic,64,384.86
0.9,0.001,0.0005,dynamic,128,241.7
0.9,0.001,0.01,0,32,13.72
0.9,0.001,0.01,0,64,13.29
0.9,0.001,0.01,0,128,64.82
0.9,0.001,0.01,20,32,38.45
0.9,0.001,0.01,20,64,41.61
0.9,0.001,0.01,20,128,44.82
0.9,0.001,0.01,dynamic,32,173.77
0.9,0.001,0.01,dynamic,64,175.29
0.9,0.001,0.01,dynamic,128,61.68
0.9,0.0001,0.001,0,32,20.51
0.9,0.0001,0.001,0,64,12.01
0.9,0.0001,0.001,0,128,9.54
0.9,0.0001,0.001,20,32,55.84
0.9,0.0001,0.001,20,64,41.03
0.9,0.0001,0.001,20,128,43.59
0.9,0.0001,0.001,dynamic,32,265.04
0.9,0.0001,0.001,dynamic,64,108.88
0.9,0.0001,0.001,dynamic,128,287.23
0.9,0.0001,0.0001,0,32,39.06
0.9,0.0001,0.0001,0,64,24.35
0.9,0.0001,0.0001,0,128,42.31
0.9,0.0001,0.0001,20,32,39.18
0.9,0.0001,0.0001,20,64,41.86
0.9,0.0001,0.0001,20,128,44.66
0.9,0.0001,0.0001,dynamic,32,16.42
0.9,0.0001,0.0001,dynamic,64,93.83
0.9,0.0001,0.0001,dynamic,128,221.52
0.9,0.0001,0.0005,0,32,50.68
0.9,0.0001,0.0005,0,64,143.53
0.9,0.0001,0.0005,0,128,16.15
0.9,0.0001,0.0005,20,32,38.05
0.9,0.0001,0.0005,20,64,44.27
0.9,0.0001,0.0005,20,128,46.93
0.9,0.0001,0.0005,dynamic,32,93.11
0.9,0.0001,0.0005,dynamic,64,146.21
